33	3	1
36	3	1
39	3	1
42	3	1
45	3	1
48	3	1
51	3	1
54	3	1
57	3	1
60	3	1
63	3	1
66	3	1
69	3	1
72	3	1
75	3	1
78	3	1
81	3	1
84	3	1
87	3	1
90	3	1
309	3	1
312	3	1
315	3	1
318	3	1
321	3	1
324	3	1
327	3	1
330	3	1
333	3	1
336	3	1
339	3	1
342	3	1
345	3	1
348	3	1
351	3	1
354	3	1
357	3	1
360	3	1
363	3	1
366	3	1
609	3	1
612	3	1
615	3	1
618	3	1
621	3	1
624	3	1
627	3	1
630	3	1
633	3	1
636	3	1
639	3	1
642	3	1
645	3	1
648	3	1
651	3	1
654	3	1
657	3	1
660	3	1
663	3	1
666	3	1
